"Index" "MMM" "AXP" "AAPL" "BA" "CAT" "CVX" "CSCO" "KO" "DIS" "DWDP" "XOM" "GE" "HD" "IBM" "INTC" "JNJ" "JPM" "MCD" "MRK" "MSFT" "NKE" "PFE" "PG" "TRV" "UTX" "UNH" "VZ" "WMT"
1992-06-30 8.020522 2.611109 0.333933 10.563136 2.067736 3.659039 0.531067 3.356356 8.265068 3.942181 3.387655 1.087055 4.687244 10.903153 0.918725 4.466516 3.739599 6.338922 8.707335 1.60048 0.09069 0.937037 3.921237 6.926836 1.2407 2.164833 4.109047 8.766341
1992-07-31 8.268582 2.583031 0.325237 10.596251 2.174342 3.897968 0.603101 3.513683 8.27304 4.002036 3.476623 1.069579 5.253547 10.55503 0.963049 4.915661 3.512956 6.046092 9.265498 1.663356 0.10474 1.006032 4.41117 6.645875 1.35349 2.399575 4.53247 9.112921
1992-08-31 8.4131 2.344381 0.345998 9.991881 1.89886 4.208297 0.529655 3.608082 7.92833 3.848114 3.683779 1.034625 5.595109 10.188095 0.934843 5.022191 3.273722 5.913095 8.77386 1.703368 0.105653 1.05107 4.084418 6.289266 1.394543 2.223518 4.627892 9.31679
1992-09-30 8.754747 2.570069 0.339417 9.857761 2.051359 4.244081 0.597451 3.4425 8.330495 3.976394 3.662278 1.20066 5.804761 9.497125 1.059757 4.793332 3.381131 6.173968 8.029545 1.840552 0.124275 1.017056 4.302253 6.83834 1.242411 2.621274 4.651748 9.678761
1992-10-30 8.786777 2.511325 0.394889 9.656583 2.104393 4.065158 0.677958 3.453125 9.090269 3.958683 3.511775 1.177645 6.066831 7.865265 1.142426 5.085763 3.562497 6.382666 7.916769 2.029181 0.121735 1.02896 4.708863 6.365955 1.160007 2.719084 4.68475 9.965233
1992-11-30 8.990337 2.687557 0.459845 9.553647 2.285632 4.128612 0.844623 3.425828 9.739571 3.772701 3.583821 1.27738 6.408741 8.639673 1.210125 5.221444 3.886361 6.874441 8.14232 2.12921 0.134827 1.128854 4.831312 6.658382 1.238068 2.842974 4.623272 10.538185
1992-12-31 8.869143 2.922535 0.477838 10.913593 2.159772 4.173651 0.888408 3.608969 9.927153 4.196786 3.681698 1.442663 7.091639 6.3769 1.47246 5.234402 4.098232 6.839369 7.913037 1.952014 0.140345 1.047576 4.775653 7.17782 1.327733 2.966865 5.041331 10.5119
1993-01-29 8.63778 2.842521 0.475839 9.587649 2.309757 4.368818 0.999988 3.652061 10.572665 3.894397 3.681698 1.453209 6.842118 6.519313 1.8595 4.560667 4.310438 6.821834 7.365732 1.977736 0.13802 0.953655 4.529289 7.17782 1.293246 3.36462 5.224509 10.696676
1993-02-26 9.602824 2.995345 0.451369 9.482744 2.386921 4.851644 0.991514 3.652061 10.283003 3.995192 4.017401 1.419463 6.684526 7.186897 2.029337 4.497392 4.297174 7.159411 7.023672 1.906286 0.121956 0.91651 4.734132 7.236082 1.342734 2.308286 5.629314 10.676147
1993-03-31 9.966914 3.436465 0.438594 9.655169 2.433218 5.237569 1.011288 3.731609 10.311969 3.903205 4.175256 1.649392 6.659119 6.724293 2.003209 4.510619 4.390676 7.477611 6.536308 2.11492 0.142502 0.977349 4.540668 7.680967 1.417747 2.714802 5.667265 10.450041
1993-04-30 10.126198 3.547318 0.436465 10.482748 2.90607 5.426596 0.932193 3.447086 9.484015 4.150725 4.167362 1.677151 5.930915 6.426903 1.717687 4.61644 4.159588 6.80586 6.836561 1.954872 0.126926 1.071552 4.575983 7.680967 1.477757 2.846588 5.341653 8.804358
1993-05-28 10.585111 3.642338 0.512169 11.072985 3.005737 5.789669 1.220325 3.633122 10.240408 4.303046 4.326384 1.716478 6.492424 7.291077 2.002087 4.834299 4.173184 7.035666 7.067527 2.117779 0.13483 1.214754 4.575983 7.837969 1.705259 3.149697 5.640577 9.174641
1993-06-30 10.127943 4.085751 0.357275 10.339443 3.142122 5.765032 1.237274 3.828521 9.484015 4.466959 4.367668 1.926654 6.160862 6.824586 1.986287 4.49576 4.552784 7.007907 6.646569 2.012032 0.112674 1.134334 4.843787 7.952083 1.74154 3.386913 6.173447 8.661001
1993-07-30 9.846615 4.265743 0.250997 11.003122 3.277689 5.806096 1.172303 3.85078 8.768463 4.733202 4.334641 1.98199 6.213671 6.150768 1.917324 3.954105 4.594553 7.346714 5.733838 1.691937 0.114973 1.007356 4.65536 8.553183 1.749603 3.327609 6.347424 8.372302
1993-08-31 10.604446 4.249398 0.273226 11.217257 3.50686 6.366854 1.079084 3.861909 9.177664 4.634592 4.519136 1.976958 6.039729 6.469324 2.357666 4.543986 4.52494 7.728441 5.967872 1.717658 0.110119 1.165322 4.619549 9.129238 1.953032 3.123339 6.840815 8.517493
1993-09-30 9.951496 4.690683 0.241006 10.8634 3.368292 6.683064 1.12993 3.82201 8.826921 4.773876 4.527775 2.088775 5.43929 5.939055 2.596186 4.390662 5.125415 7.458846 5.860197 1.88628 0.104411 1.100582 4.535993 9.413024 1.905816 3.617538 6.800814 8.145369
1993-10-29 10.036134 4.335663 0.317046 10.6157 3.95998 6.631782 1.158179 3.92378 10.105318 4.529063 4.519136 2.113286 5.59823 6.504679 2.351304 4.697313 4.570162 8.285607 6.122238 1.831978 0.112242 1.151449 5.304691 9.684182 2.12902 3.683431 6.9509 8.72423
1993-11-30 10.887422 4.21803 0.360985 11.08243 3.689489 6.167423 1.271172 3.861547 9.370924 4.743276 4.540002 2.143241 5.882248 7.771385 2.286248 4.984786 4.385077 8.495128 6.527211 1.829121 0.111082 1.33521 5.549146 9.167697 2.251224 3.815219 6.554873 9.489451
1993-12-31 10.862452 4.150807 0.3352 12.409449 3.851785 6.185171 1.460435 4.102892 10.017192 4.793507 4.567135 2.48699 5.598763 8.150034 2.304835 5.127614 4.702147 8.259651 6.660738 1.843409 0.123821 1.385407 5.573594 9.583724 2.255772 3.99972 6.472939 8.287727
1994-01-31 10.712625 4.528429 0.375309 12.409449 4.567008 6.628869 1.638399 3.758111 11.153193 5.36366 4.811316 2.555168 5.527896 8.150034 2.456555 4.841956 4.628905 8.803051 7.072493 1.946298 0.13386 1.297564 5.94743 9.423776 2.451333 4.507098 6.361501 8.784989
1994-02-28 10.879947 4.05997 0.464914 13.573372 4.753415 6.40067 1.666647 3.91901 11.330229 5.374218 4.904571 2.498847 5.899962 7.766443 2.588324 4.699523 4.365232 8.84788 6.273204 1.88628 0.138545 1.280863 5.747519 8.863949 2.609868 4.355541 6.13731 9.406571
1994-03-31 10.221726 3.851766 0.423517 12.920108 4.928858 6.206709 1.548005 3.807563 9.91395 5.234294 4.753369 2.582259 5.795116 8.02349 2.541263 4.421359 4.399675 8.300586 5.867241 1.937724 0.161861 1.192528 5.347691 8.623535 2.384384 4.530859 5.801019 8.60398
1994-04-29 10.118477 4.261049 0.382121 13.065273 4.872198 6.576154 1.370041 3.913002 10.087095 5.462819 4.753369 2.459602 5.972881 8.445777 2.328138 4.845927 4.203128 8.756662 5.842591 2.11492 0.16377 1.302947 5.818975 8.803766 2.446751 4.398376 5.980521 8.39615
1994-05-31 10.723572 4.502418 0.418693 13.617065 4.739168 6.713543 1.118631 3.772416 10.294773 5.941628 4.843362 2.569347 6.41729 9.416694 2.385389 5.331222 4.641584 9.048555 6.015157 2.45788 0.180185 1.554992 5.767819 8.609666 2.699481 5.100528 6.168312 7.814245
